00:00:00:3336			outrecovered			2.55273
00:00:00:335			outinfectious			2.81953
00:00:00:337			outrecovered			2.57826
00:00:00:341			outinfectious			2.79133
00:00:00:342			outrecovered			2.60404
00:00:00:346			outrecovered			2.63008
00:00:00:3479			outinfectious			2.76342
00:00:00:351			outrecovered			2.65638
00:00:00:352   		outinfectious			2.73578
00:00:00:356			outrecovered			2.68295
00:00:00:358			outinfectious			2.70843
00:00:00:361			outrecovered			2.70978
00:00:00:364			outinfectious			2.68134
00:00:00:366			outrecovered			2.73687
00:00:00:370			outinfectious			2.65453
00:00:00:371			outrecovered			2.76424
00:00:00:376			outinfectious			2.62798
00:00:00:376			outrecovered			2.79189
00:00:00:3829			outrecovered			2.8198
00:00:00:382			outinfectious			2.6017
00:00:00:387			outrecovered			2.848
00:00:00:388			outinfectious			2.57569
00:00:00:392			outrecovered			2.87648
00:00:00:394   		outinfectious			2.54993
00:00:00:398			outrecovered			2.90525
00:00:00:399			outinfectious			2.52443
00:00:00:404			outrecovered			2.9343
00:00:00:405			outinfectious			2.49919
00:00:00:410			outrecovered			2.96364
00:00:00:411			outinfectious			2.47419
00:00:00:416   		outrecovered			2.99328
00:00:00:417			outinfectious			2.44945
00:00:00:422			outrecovered			3.02321
00:00:00:423			outinfectious			2.42496
00:00:00:428			outrecovered			3.05344
00:00:00:429			outinfectious			2.40071
00:00:00:434			outrecovered			3.08398
00:00:00:435			outinfectious			2.3767
00:00:00:441			outinfectious			2.35293
00:00:00:441			outrecovered			3.11482
00:00:00:447			outinfectious			2.3294
00:00:00:447			outrecovered			3.14597
00:00:00:452			outinfectious			2.30611
00:00:00:454			outrecovered			3.17743
00:00:00:458			outinfectious			2.28305
00:00:00:461			outrecovered			3.2092
00:00:00:464			outinfectious			2.26022
00:00:00:468			outrecovered			3.24129
00:00:00:470			outinfectious			2.23762
00:00:00:475			outrecovered			3.2737
00:00:00:476			outinfectious			2.21524
00:00:00:482			outinfectious			2.19309
00:00:00:483			outrecovered			3.30644
00:00:00:488			outinfectious			2.17116
00:00:00:490			outrecovered			3.33951
00:00:00:494			outinfectious			2.14945
00:00:00:498			outrecovered			3.3729
00:00:00:499   		outinfectious			2.12795
00:00:00:505			outinfectious			2.10667
00:00:00:506			outrecovered			3.40663
00:00:00:511			outinfectious			2.0856
00:00:00:514			outrecovered			3.4407
00:00:00:517			outinfectious			2.06475
00:00:00:522			outrecovered			3.4751
00:00:00:523			outinfectious			2.0441
00:00:00:529			outinfectious			2.02366
00:00:00:531   		outrecovered			3.50985
00:00:00:535			outinfectious			2.00342
00:00:00:540			outrecovered			3.54495
00:00:00:541   		outinfectious			1.98339
00:00:00:5471			outinfectious			1.96356
00:00:00:549			outrecovered			3.5804
00:00:00:552			outinfectious			1.94392
00:00:00:558			outrecovered			3.61621
00:00:00:558			outinfectious			1.92448
00:00:00:564			outinfectious			1.90524
00:00:00:567			outrecovered			3.65237
00:00:00:570			outinfectious			1.88618
00:00:00:576			outinfectious			1.86732
00:00:00:577			outrecovered			3.68889
00:00:00:582   		outinfectious			1.84865
00:00:00:587			outrecovered			3.72578
00:00:00:588			outinfectious			1.83016
00:00:00:594			outinfectious			1.81186
00:00:00:597			outrecovered			3.76304
00:00:00:599			outinfectious			1.79374
00:00:00:605			outinfectious			1.7758
00:00:00:607			outrecovered			3.80067
00:00:00:611			outinfectious			1.75805
00:00:00:617			outinfectious			1.74047
00:00:00:618			outrecovered			3.83868
00:00:00:623   		outinfectious			1.72306
00:00:00:629			outinfectious			1.70583
00:00:00:629			outrecovered			3.87706
00:00:00:635			outinfectious			1.68877
00:00:00:641			outinfectious			1.67188
00:00:00:641			outrecovered			3.91583
00:00:00:6472			outinfectious			1.65517
00:00:00:652			outinfectious			1.63861
00:00:00:6531			outrecovered			3.95499
00:00:00:658			outinfectious			1.62223
00:00:00:664   		outinfectious			1.60601
00:00:00:665			outrecovered			3.99454
00:00:00:670			outinfectious			1.58995
00:00:00:676			outinfectious			1.57405
00:00:00:677			outrecovered			4.03449
00:00:00:682			outinfectious			1.55831
00:00:00:688			outinfectious			1.54272
00:00:00:690			outrecovered			4.07483
00:00:00:694			outinfectious			1.5273
00:00:00:699			outinfectious			1.51202
00:00:00:703			outrecovered			4.11558
00:00:00:705			outinfectious			1.4969
00:00:00:711			outinfectious			1.48193
00:00:00:717			outinfectious			1.46711
00:00:00:717			outrecovered			4.15674
00:00:00:723			outinfectious			1.45244
00:00:00:729			outinfectious			1.43792
00:00:00:7327			outrecovered			4.1983
00:00:00:735			outinfectious			1.42354
00:00:00:741			outinfectious			1.4093
00:00:00:746   		outrecovered			4.24029
00:00:00:7473			outinfectious			1.39521
00:00:00:752			outinfectious			1.38126
00:00:00:758			outinfectious			1.36745
00:00:00:762			outrecovered			4.28269
00:00:00:764			outinfectious			1.35377
00:00:00:770			outinfectious			1.34023
00:00:00:776			outinfectious			1.32683
00:00:00:7789			outrecovered			4.32552
00:00:00:782			outinfectious			1.31356
00:00:00:788			outinfectious			1.30043
00:00:00:794			outinfectious			1.28742
00:00:00:794			outrecovered			4.36877
00:00:00:799			outinfectious			1.27455
00:00:00:805			outinfectious			1.2618
00:00:00:811			outrecovered			4.41246
00:00:00:811   		outinfectious			1.24919
00:00:00:817			outinfectious			1.23669
00:00:00:823			outinfectious			1.22433
00:00:00:829			outinfectious			1.21208
00:00:00:829			outrecovered			4.45658
00:00:00:835			outinfectious			1.19996
00:00:00:841			outinfectious			1.18796
00:00:00:8474			outinfectious			1.17608
00:00:00:8482			outrecovered			4.50115
00:00:00:852   		outinfectious			1.16432
00:00:00:858			outinfectious			1.15268
00:00:00:864			outinfectious			1.14115
00:00:00:867			outrecovered			4.54616
00:00:00:870			outinfectious			1.12974
00:00:00:876			outinfectious			1.11844
00:00:00:882			outinfectious			1.10726
00:00:00:887			outrecovered			4.59162
00:00:00:888			outinfectious			1.09619
00:00:00:894   		outinfectious			1.08522
00:00:00:899			outinfectious			1.07437
00:00:00:905			outinfectious			1.06363
00:00:00:908			outrecovered			4.63754
00:00:00:911			outinfectious			1.05299
00:00:00:917			outinfectious			1.04246
00:00:00:923			outinfectious			1.03204
00:00:00:929			outinfectious			1.02172
00:00:00:931			outrecovered			4.68391
00:00:00:935   		outinfectious			1.0115
00:00:00:941			outinfectious			1.00139
00:00:00:9475			outinfectious			0.991371
00:00:00:952			outinfectious			0.981458
00:00:00:954			outrecovered			4.73075
00:00:00:958			outinfectious			0.971643
00:00:00:964			outinfectious			0.961927
00:00:00:970			outinfectious			0.952307
00:00:00:976   		outinfectious			0.942784
00:00:00:9796			outrecovered			4.77806
00:00:00:982			outinfectious			0.933356
00:00:00:988			outinfectious			0.924023
00:00:00:994			outinfectious			0.914783
00:00:00:999			outinfectious			0.905635
00:00:01:004			outrecovered			4.82584
00:00:01:005			outinfectious			0.896578
00:00:01:011			outinfectious			0.887613
00:00:01:017			outinfectious			0.878737
00:00:01:023			outinfectious			0.869949
00:00:01:029			outinfectious			0.86125
00:00:01:032			outrecovered			4.8741
00:00:01:035			outinfectious			0.852637
00:00:01:041			outinfectious			0.844111
00:00:01:0476			outinfectious			0.83567
00:00:01:052			outinfectious			0.827313
00:00:01:058			outinfectious			0.81904
00:00:01:061			outrecovered			4.92284
00:00:01:064			outinfectious			0.810849
00:00:01:070			outinfectious			0.802741
00:00:01:076			outinfectious			0.794714
00:00:01:082			outinfectious			0.786766
00:00:01:088			outinfectious			0.778899
00:00:01:092			outrecovered			4.97207
00:00:01:094			outinfectious			0.77111
00:00:01:099			outinfectious			0.763399
00:00:01:105			outinfectious			0.755765
00:00:01:111			outinfectious			0.748207
00:00:01:117			outinfectious			0.740725
00:00:01:123   		outinfectious			0.733318
00:00:01:12509			outrecovered			5.02179
00:00:01:129			outinfectious			0.725985
00:00:01:135			outinfectious			0.718725
00:00:01:141			outinfectious			0.711537
00:00:01:1477			outinfectious			0.704422
00:00:01:152			outinfectious			0.697378
00:00:01:158			outinfectious			0.690404
00:00:01:160			outrecovered			5.07201
00:00:01:164   		outinfectious			0.6835
00:00:01:170			outinfectious			0.676665
00:00:01:176			outinfectious			0.669898
00:00:01:182			outinfectious			0.663199
00:00:01:188			outinfectious			0.656567
00:00:01:194			outinfectious			0.650002
00:00:01:198			outrecovered			5.12273
00:00:01:199			outinfectious			0.643502
00:00:01:205   		outinfectious			0.637067
00:00:01:211			outinfectious			0.630696
00:00:01:217			outinfectious			0.624389
00:00:01:223			outinfectious			0.618145
00:00:01:229			outinfectious			0.611964
00:00:01:235			outinfectious			0.605844
00:00:01:238			outrecovered			5.17396
00:00:01:241			outinfectious			0.599786
00:00:01:2477			outinfectious			0.593788
00:00:01:252			outinfectious			0.58785
00:00:01:258			outinfectious			0.581971
00:00:01:264			outinfectious			0.576152
00:00:01:270			outinfectious			0.57039
00:00:01:276			outinfectious			0.564686
00:00:01:282			outinfectious			0.559039
00:00:01:283			outrecovered			5.2257
00:00:01:288   		outinfectious			0.553449
00:00:01:294			outinfectious			0.547915
00:00:01:299			outinfectious			0.542435
00:00:01:305			outinfectious			0.537011
00:00:01:311			outinfectious			0.531641
00:00:01:317			outinfectious			0.526325
00:00:01:323			outinfectious			0.521061
00:00:01:329			outinfectious			0.515851
00:00:01:331			outrecovered			5.27795
00:00:01:335			outinfectious			0.510692
00:00:01:341			outinfectious			0.505585
00:00:01:3478			outinfectious			0.500529
00:00:01:352			outinfectious			0.495524
00:00:01:358			outinfectious			0.490569
00:00:01:364			outinfectious			0.485663
00:00:01:370			outinfectious			0.480807
00:00:01:376			outinfectious			0.475998
00:00:01:382			outinfectious			0.471238
00:00:01:385			outrecovered			5.33073
00:00:01:388			outinfectious			0.466526
00:00:01:394   		outinfectious			0.461861
00:00:01:399			outinfectious			0.457242
00:00:01:405			outinfectious			0.45267
00:00:01:411			outinfectious			0.448143
00:00:01:417			outinfectious			0.443662
00:00:01:423			outinfectious			0.439225
00:00:01:429			outinfectious			0.434833
00:00:01:435   		outinfectious			0.430484
00:00:01:441			outinfectious			0.42618
00:00:01:444			outrecovered			5.38404
00:00:01:4479			outinfectious			0.421918
00:00:01:452			outinfectious			0.417699
00:00:01:458			outinfectious			0.413522
00:00:01:464			outinfectious			0.409386
00:00:01:470			outinfectious			0.405293
00:00:01:476   		outinfectious			0.40124
00:00:01:482			outinfectious			0.397227
00:00:01:488			outinfectious			0.393255
00:00:01:494			outinfectious			0.389322
00:00:01:499			outinfectious			0.385429
00:00:01:505			outinfectious			0.381575
00:00:01:511			outrecovered			5.43788
00:00:01:511			outinfectious			0.377759
00:00:01:517   		outinfectious			0.373982
00:00:01:523			outinfectious			0.370242
00:00:01:529			outinfectious			0.366539
00:00:01:535			outinfectious			0.362874
00:00:01:541			outinfectious			0.359245
00:00:01:547			outinfectious			0.355653
00:00:01:552			outinfectious			0.352096
00:00:01:558   		outinfectious			0.348575
00:00:01:564			outinfectious			0.34509
00:00:01:570			outinfectious			0.341639
00:00:01:576			outinfectious			0.338222
00:00:01:582			outinfectious			0.33484
00:00:01:5887			outrecovered			5.49226
00:00:01:588			outinfectious			0.331492
00:00:01:594			outinfectious			0.328177
00:00:01:599			outinfectious			0.324895
00:00:01:605			outinfectious			0.321646
00:00:01:611			outinfectious			0.31843
00:00:01:617			outinfectious			0.315245
00:00:01:623			outinfectious			0.312093
00:00:01:629			outinfectious			0.308972
00:00:01:635			outinfectious			0.305882
00:00:01:641			outinfectious			0.302823
00:00:01:6471			outinfectious			0.299795
00:00:01:652			outinfectious			0.296797
00:00:01:658			outinfectious			0.293829
00:00:01:664			outinfectious			0.290891
00:00:01:670			outinfectious			0.287982
00:00:01:676			outinfectious			0.285102
00:00:01:676			outrecovered			5.54718
00:00:01:682			outinfectious			0.282251
00:00:01:688			outinfectious			0.279429
00:00:01:694			outinfectious			0.276634
00:00:01:699			outinfectious			0.273868
00:00:01:705   		outinfectious			0.271129
00:00:01:711			outinfectious			0.268418
00:00:01:717			outinfectious			0.265734
00:00:01:723			outinfectious			0.263076
00:00:01:729			outinfectious			0.260446
00:00:01:735			outinfectious			0.257841
00:00:01:741			outinfectious			0.255263
00:00:01:7472			outinfectious			0.25271
00:00:01:752			outinfectious			0.250183
00:00:01:758			outinfectious			0.247681
00:00:01:764			outinfectious			0.245204
00:00:01:770			outinfectious			0.242752
00:00:01:776			outinfectious			0.240325
00:00:01:782			outinfectious			0.237922
00:00:01:782			outrecovered			5.60265
00:00:01:788   		outinfectious			0.235542
00:00:01:794			outinfectious			0.233187
00:00:01:799			outinfectious			0.230855
00:00:01:805			outinfectious			0.228547
00:00:01:811			outinfectious			0.226261
00:00:01:817			outinfectious			0.223999
00:00:01:823			outinfectious			0.221759
00:00:01:829   		outinfectious			0.219541
00:00:01:835			outinfectious			0.217346
00:00:01:841			outinfectious			0.215172
00:00:01:8473			outinfectious			0.21302
00:00:01:852			outinfectious			0.21089
00:00:01:858			outinfectious			0.208781
00:00:01:864			outinfectious			0.206693
00:00:01:870   		outinfectious			0.204627
00:00:01:876			outinfectious			0.20258
00:00:01:882			outinfectious			0.200554
00:00:01:888			outinfectious			0.198549
00:00:01:894			outinfectious			0.196563
00:00:01:899			outinfectious			0.194598
00:00:01:905			outinfectious			0.192652
00:00:01:911			outinfectious			0.190725
00:00:01:913			outrecovered			5.65868
00:00:01:917			outinfectious			0.188818
00:00:01:923			outinfectious			0.18693
00:00:01:929			outinfectious			0.185061
00:00:01:935			outinfectious			0.18321
00:00:01:941			outinfectious			0.181378
00:00:01:9474			outinfectious			0.179564
00:00:01:952			outinfectious			0.177768
00:00:01:958			outinfectious			0.175991
00:00:01:964			outinfectious			0.174231
00:00:01:970			outinfectious			0.172489
00:00:01:976			outinfectious			0.170764
00:00:01:982			outinfectious			0.169056
00:00:01:988			outinfectious			0.167365
00:00:01:994			outinfectious			0.165692
00:00:01:999			outinfectious			0.164035
00:00:02:005			outinfectious			0.162395
00:00:02:011			outinfectious			0.160771
00:00:02:017   		outinfectious			0.159163
00:00:02:023			outinfectious			0.157571
00:00:02:029			outinfectious			0.155996
00:00:02:035			outinfectious			0.154436
00:00:02:041			outinfectious			0.152891
00:00:02:0475			outinfectious			0.151362
00:00:02:052			outinfectious			0.149849
00:00:02:058   		outinfectious			0.14835
00:00:02:064			outinfectious			0.146867
00:00:02:070			outinfectious			0.145398
00:00:02:076			outinfectious			0.143944
00:00:02:082			outinfectious			0.142505
00:00:02:084			outrecovered			5.71527
00:00:02:088			outinfectious			0.14108
00:00:02:094			outinfectious			0.139669
00:00:02:099   		outinfectious			0.138272
00:00:02:105			outinfectious			0.136889
00:00:02:111			outinfectious			0.13552
00:00:02:117			outinfectious			0.134165
00:00:02:123			outinfectious			0.132824
00:00:02:129			outinfectious			0.131495
00:00:02:135			outinfectious			0.13018
00:00:02:141   		outinfectious			0.128879
00:00:02:1476			outinfectious			0.12759
00:00:02:152			outinfectious			0.126314
00:00:02:158			outinfectious			0.125051
00:00:02:164			outinfectious			0.1238
00:00:02:170			outinfectious			0.122562
00:00:02:176			outinfectious			0.121337
00:00:02:182   		outinfectious			0.120123
00:00:02:188			outinfectious			0.118922
00:00:02:194			outinfectious			0.117733
00:00:02:199			outinfectious			0.116556
00:00:02:205			outinfectious			0.11539
00:00:02:211			outinfectious			0.114236
00:00:02:217			outinfectious			0.113094
00:00:02:223			outinfectious			0.111963
00:00:02:229			outinfectious			0.110843
00:00:02:235			outinfectious			0.109735
00:00:02:241			outinfectious			0.108637
00:00:02:2477			outinfectious			0.107551
00:00:02:252			outinfectious			0.106475
00:00:02:258			outinfectious			0.105411
00:00:02:264			outinfectious			0.104357
00:00:02:270			outinfectious			0.103313
00:00:02:276			outinfectious			0.10228
00:00:02:282			outinfectious			0.101257
00:00:02:288   		outinfectious			0.100245
00:00:02:294			outinfectious			0.0992421
00:00:02:299			outinfectious			0.0982497
00:00:02:305			outinfectious			0.0972672
00:00:02:311			outinfectious			0.0962945
00:00:02:317			outinfectious			0.0953316
00:00:02:323			outinfectious			0.0943782
00:00:02:329			outrecovered			5.77242
00:00:02:329   		outinfectious			0.0934345
00:00:02:335			outinfectious			0.0925001
00:00:02:341			outinfectious			0.0915751
00:00:02:3478			outinfectious			0.0906594
00:00:02:352			outinfectious			0.0897528
00:00:02:358			outinfectious			0.0888552
00:00:02:364			outinfectious			0.0879667
00:00:02:370   		outinfectious			0.087087
00:00:02:376			outinfectious			0.0862162
00:00:02:382			outinfectious			0.085354
00:00:02:388			outinfectious			0.0845005
00:00:02:394			outinfectious			0.0836554
00:00:02:399			outinfectious			0.0828189
00:00:02:405			outinfectious			0.0819907
00:00:02:411   		outinfectious			0.0811708
00:00:02:417			outinfectious			0.0803591
00:00:02:423			outinfectious			0.0795555
00:00:02:429			outinfectious			0.0787599
00:00:02:435			outinfectious			0.0779723
00:00:02:441			outinfectious			0.0771926
00:00:02:4479			outinfectious			0.0764207
00:00:02:452   		outinfectious			0.0756565
00:00:02:458			outinfectious			0.0748999
00:00:02:464			outinfectious			0.0741509
00:00:02:470			outinfectious			0.0734094
00:00:02:476			outinfectious			0.0726753
00:00:02:482			outinfectious			0.0719486
00:00:02:488			outinfectious			0.0712291
00:00:02:494			outinfectious			0.0705168
00:00:02:499			outinfectious			0.0698116
00:00:02:505			outinfectious			0.0691135
00:00:02:511			outinfectious			0.0684224
00:00:02:517			outinfectious			0.0677381
00:00:02:523			outinfectious			0.0670608
00:00:02:529			outinfectious			0.0663902
00:00:02:535			outinfectious			0.0657263
00:00:02:541			outinfectious			0.065069
00:00:02:5479			outinfectious			0.0644183
00:00:02:552			outinfectious			0.0637741
00:00:02:558			outinfectious			0.0631364
00:00:02:564			outinfectious			0.062505
00:00:02:570			outinfectious			0.06188
00:00:02:576			outinfectious			0.0612612
00:00:02:582			outinfectious			0.0606486
00:00:02:588			outinfectious			0.0600421
00:00:02:594			outinfectious			0.0594417
00:00:02:599   		outinfectious			0.0588472
00:00:02:605			outinfectious			0.0582588
00:00:02:611			outinfectious			0.0576762
00:00:02:617			outinfectious			0.0570994
00:00:02:623			outinfectious			0.0565284
00:00:02:629			outinfectious			0.0559631
00:00:02:635			outinfectious			0.0554035
00:00:02:641   		outinfectious			0.0548495
00:00:02:647			outinfectious			0.054301
00:00:02:652			outinfectious			0.053758
00:00:02:658			outinfectious			0.0532204
00:00:02:664			outinfectious			0.0526882
00:00:02:670			outinfectious			0.0521613
00:00:02:676			outinfectious			0.0516397
00:00:02:682   		outinfectious			0.0511233
00:00:02:688			outinfectious			0.0506121
00:00:02:694			outinfectious			0.0501059
00:00:02:699			outinfectious			0.0496049
00:00:02:705			outinfectious			0.0491088
00:00:02:711			outinfectious			0.0486177
00:00:02:717			outinfectious			0.0481316
00:00:02:723   		outinfectious			0.0476502
00:00:02:729			outinfectious			0.0471737
00:00:02:735			outinfectious			0.046702
00:00:02:741			outinfectious			0.046235
00:00:02:7471			outinfectious			0.0457726
00:00:02:752			outinfectious			0.0453149
00:00:02:758			outinfectious			0.0448618
00:00:02:764   		outinfectious			0.0444131
00:00:02:765			outrecovered			5.83014
00:00:02:770			outinfectious			0.043969
00:00:02:776			outinfectious			0.0435293
00:00:02:782			outinfectious			0.043094
00:00:02:788			outinfectious			0.0426631
00:00:02:794			outinfectious			0.0422365
00:00:02:799			outinfectious			0.0418141
00:00:02:805			outinfectious			0.041396
00:00:02:811			outinfectious			0.040982
00:00:02:817			outinfectious			0.0405722
00:00:02:823			outinfectious			0.0401665
00:00:02:829			outinfectious			0.0397648
00:00:02:835			outinfectious			0.0393671
00:00:02:841			outinfectious			0.0389735
00:00:02:8472			outinfectious			0.0385837
00:00:02:852			outinfectious			0.0381979
00:00:02:858			outinfectious			0.0378159
00:00:02:864			outinfectious			0.0374378
00:00:02:870			outinfectious			0.0370634
00:00:02:876			outinfectious			0.0366927
00:00:02:882			outinfectious			0.0363258
00:00:02:888			outinfectious			0.0359626
00:00:02:894			outinfectious			0.0356029
00:00:02:899			outinfectious			0.0352469
00:00:02:905			outinfectious			0.0348944
00:00:02:911   		outinfectious			0.0345455
00:00:02:917			outinfectious			0.0342
00:00:02:923			outinfectious			0.033858
00:00:02:929			outinfectious			0.0335195
00:00:02:935			outinfectious			0.0331843
00:00:02:941			outinfectious			0.0328524
00:00:02:9473			outinfectious			0.0325239
00:00:02:952   		outinfectious			0.0321987
00:00:02:958			outinfectious			0.0318767
00:00:02:964			outinfectious			0.0315579
00:00:02:970			outinfectious			0.0312423
00:00:02:976			outinfectious			0.0309299
00:00:02:982			outinfectious			0.0306206
00:00:02:988			outinfectious			0.0303144
00:00:02:994   		outinfectious			0.0300113
00:00:02:999			outinfectious			0.0297111
00:00:03:005			outinfectious			0.029414
00:00:03:011			outinfectious			0.0291199
00:00:03:017			outinfectious			0.0288287
00:00:03:023			outinfectious			0.0285404
00:00:03:029			outinfectious			0.028255
00:00:03:035   		outinfectious			0.0279724
00:00:03:041			outinfectious			0.0276927
00:00:03:0474			outinfectious			0.0274158
00:00:03:052			outinfectious			0.0271416
00:00:03:058			outinfectious			0.0268702
00:00:03:064			outinfectious			0.0266015
00:00:03:070			outinfectious			0.0263355
00:00:03:076   		outinfectious			0.0260721
00:00:03:082			outinfectious			0.0258114
00:00:03:088			outinfectious			0.0255533
00:00:03:094			outinfectious			0.0252978
00:00:03:099			outinfectious			0.0250448
00:00:03:105			outinfectious			0.0247944
00:00:03:111			outinfectious			0.0245464
00:00:03:117			outinfectious			0.0243009
00:00:03:123			outinfectious			0.0240579
00:00:03:129			outinfectious			0.0238174
00:00:03:135			outinfectious			0.0235792
00:00:03:141			outinfectious			0.0233434
00:00:03:1475			outinfectious			0.02311
00:00:03:152			outinfectious			0.0228789
00:00:03:158			outinfectious			0.0226501
00:00:03:164			outinfectious			0.0224236
00:00:03:170			outinfectious			0.0221993
00:00:03:176			outinfectious			0.0219773
00:00:03:182   		outinfectious			0.0217576
00:00:03:188			outinfectious			0.02154
00:00:03:194			outinfectious			0.0213246
00:00:03:199			outinfectious			0.0211113
00:00:03:205			outinfectious			0.0209002
00:00:03:211			outinfectious			0.0206912
00:00:03:217			outinfectious			0.0204843
00:00:03:223   		outinfectious			0.0202795
00:00:03:229			outinfectious			0.0200767
00:00:03:235			outinfectious			0.0198759
00:00:03:241			outinfectious			0.0196772
00:00:03:2476			outinfectious			0.0194804
00:00:03:252			outinfectious			0.0192856
00:00:03:258			outinfectious			0.0190927
00:00:03:264   		outinfectious			0.0189018
00:00:03:270			outinfectious			0.0187128
00:00:03:276			outinfectious			0.0185256
00:00:03:282			outinfectious			0.0183404
00:00:03:288			outinfectious			0.018157
00:00:03:294			outinfectious			0.0179754
00:00:03:299			outinfectious			0.0177957
00:00:03:305   		outinfectious			0.0176177
00:00:03:311			outinfectious			0.0174415
00:00:03:317			outinfectious			0.0172671
00:00:03:323			outinfectious			0.0170944
00:00:03:329			outinfectious			0.0169235
00:00:03:335			outinfectious			0.0167543
00:00:03:341			outinfectious			0.0165867
00:00:03:3477			outinfectious			0.0164209
00:00:03:352			outinfectious			0.0162566
00:00:03:358			outinfectious			0.0160941
00:00:03:364			outinfectious			0.0159331
00:00:03:370			outinfectious			0.0157738
00:00:03:376			outinfectious			0.0156161
00:00:03:382			outinfectious			0.0154599
00:00:03:388			outinfectious			0.0153053
00:00:03:394			outinfectious			0.0151523
00:00:03:399			outinfectious			0.0150007
00:00:03:405			outinfectious			0.0148507
00:00:03:411			outinfectious			0.0147022
00:00:03:417			outinfectious			0.0145552
00:00:03:423			outinfectious			0.0144096
00:00:03:429			outinfectious			0.0142655
00:00:03:435			outinfectious			0.0141229
00:00:03:441			outinfectious			0.0139817
00:00:03:4478			outinfectious			0.0138418
00:00:03:452			outinfectious			0.0137034
00:00:03:458			outinfectious			0.0135664
00:00:03:464			outinfectious			0.0134307
00:00:03:470			outinfectious			0.0132964
00:00:03:476			outinfectious			0.0131635
00:00:03:482			outinfectious			0.0130318
00:00:03:488			outinfectious			0.0129015
00:00:03:494   		outinfectious			0.0127725
00:00:03:499			outinfectious			0.0126448
00:00:03:505			outinfectious			0.0125183
00:00:03:511			outinfectious			0.0123931
00:00:03:517			outinfectious			0.0122692
00:00:03:523			outinfectious			0.0121465
00:00:03:529			outinfectious			0.012025
00:00:03:535   		outinfectious			0.0119048
00:00:03:541			outinfectious			0.0117857
00:00:03:5479			outinfectious			0.0116679
00:00:03:552			outinfectious			0.0115512
00:00:03:558			outinfectious			0.0114357
00:00:03:564			outinfectious			0.0113213
00:00:03:570			outinfectious			0.0112081
00:00:03:576   		outinfectious			0.011096
00:00:03:582			outinfectious			0.0109851
00:00:03:588			outinfectious			0.0108752
00:00:03:594			outinfectious			0.0107665
00:00:03:599			outinfectious			0.0106588
00:00:03:605			outinfectious			0.0105522
00:00:03:611			outinfectious			0.0104467
00:00:03:617   		outinfectious			0.0103422
00:00:03:623			outinfectious			0.0102388
00:00:03:629			outinfectious			0.0101364
00:00:03:635			outinfectious			0.0100351
00:00:03:641			outinfectious			0.00993472
00:00:03:6478			outinfectious			0.00983472
00:00:03:653   		outinfectious			0.00973472
00:00:03:659			outinfectious			0.00963472
00:00:03:665			outinfectious			0.00953472
00:00:03:671			outinfectious			0.00943472
00:00:03:677			outinfectious			0.00933472
00:00:03:683			outinfectious			0.00923472
00:00:03:690			outinfectious			0.00913472
00:00:03:696			outinfectious			0.00903472
00:00:03:703			outinfectious			0.00893472
00:00:03:709			outinfectious			0.00883472
00:00:03:716			outinfectious			0.00873472
00:00:03:723			outinfectious			0.00863472
00:00:03:7301			outinfectious			0.00853472
00:00:03:736			outinfectious			0.00843472
00:00:03:743			outinfectious			0.00833472
00:00:03:750			outinfectious			0.00823472
00:00:03:758   		outinfectious			0.00813472
00:00:03:765   		outinfectious			0.00803472
00:00:03:772   		outinfectious			0.00793472
00:00:03:7807			outinfectious			0.00783472
00:00:03:787			outinfectious			0.00773472
00:00:03:795			outinfectious			0.00763472
00:00:03:802			outinfectious			0.00753472
00:00:03:810			outinfectious			0.00743472
00:00:03:818			outinfectious			0.00733472
00:00:03:826			outinfectious			0.00723472
00:00:03:834			outinfectious			0.00713472
00:00:03:84356			outinfectious			0.00703472
00:00:03:851   		outinfectious			0.00693472
00:00:03:859			outinfectious			0.00683472
00:00:03:868			outinfectious			0.00673472
00:00:03:877			outinfectious			0.00663472
00:00:03:8862			outinfectious			0.00653472
00:00:03:8959			outinfectious			0.00643472
00:00:03:904			outinfectious			0.00633472
00:00:03:913			outinfectious			0.00623472
00:00:03:922			outinfectious			0.00613472
00:00:03:932			outinfectious			0.00603472
00:00:03:942			outinfectious			0.00593472
00:00:03:952			outinfectious			0.00583472
00:00:03:962			outinfectious			0.00573472
00:00:03:972			outinfectious			0.00563472
00:00:03:982			outinfectious			0.00553472
00:00:03:993			outinfectious			0.00543472
00:00:04:004			outinfectious			0.00533472
00:00:04:015			outinfectious			0.00523472
00:00:04:026			outinfectious			0.00513472
00:00:04:038			outinfectious			0.00503472
00:00:04:049			outinfectious			0.00493472
00:00:04:061			outinfectious			0.00483472
00:00:04:073			outinfectious			0.00473472
00:00:04:086			outinfectious			0.00463472
00:00:04:09946			outinfectious			0.00453472
00:00:04:111			outinfectious			0.00443472
00:00:04:125			outinfectious			0.00433472
00:00:04:138			outinfectious			0.00423472
00:00:04:152			outinfectious			0.00413472
00:00:04:166			outinfectious			0.00403472
00:00:04:181			outinfectious			0.00393472
00:00:04:196			outinfectious			0.00383472
00:00:04:211			outinfectious			0.00373472
00:00:04:227   		outinfectious			0.00363472
00:00:04:243			outinfectious			0.00353472
00:00:04:260			outinfectious			0.00343472
00:00:04:277			outinfectious			0.00333472
00:00:04:295			outinfectious			0.00323472
00:00:04:313   		outinfectious			0.00313472
00:00:04:3323			outinfectious			0.00303472
